Time (s), Speed
00:00:00,86.10,
00:00:01,86.10,
00:00:02,86.10,
00:00:03,97.08,
00:00:04,86.10,
00:00:05,97.08,
00:00:06,86.10,
00:00:07,30.00,
00:00:08,58.20,
00:00:09,60.00,
00:00:10,86.10,
00:00:11,120.00,
00:00:12,120.00,
00:00:13,120.00,
00:00:14,120.00,
00:00:15,120.00,
00:00:16,60.00,
00:00:17,60.00,
00:00:18,86.10,
00:00:19,86.10,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,86.10,
00:00:23,120.00,
00:00:24,120.00,
00:00:25,37.08,
00:00:26,86.10,
00:00:27,86.10,
00:00:28,86.10,
00:00:29,97.08,
00:00:30,97.08,
00:00:31,120.00,
00:00:32,120.00,
00:00:33,120.00,
00:00:34,120.00,
00:00:35,120.00,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,97.08,
00:00:48,86.10,
00:00:49,120.00,
00:00:50,120.00,
00:00:51,120.00,
